1,2,3,4,5,6,7,8
13,195428,4,김말이 위에 랩을 깔아주고 김을 올려놓고 밥을 김 위에 잘 펴 뒤집어 준다.,http://file.okdab.com/recipe/148299332507500124.jpg, ,2021.11.01,test
14,195428,3,밥에 통깨와 참기름  맛소금을 넣고 주걱을 세워 섞어준다.,http://file.okdab.com/recipe/148299332507100123.jpg, ,2021.11.01,test
15,195428,1,당근과 오이는 얇게 슬라이스 해준다. 가지는 길게 잘라준다.,http://file.okdab.com/recipe/148299332506300121.jpg, ,2021.11.01,test
16,195428,2,오이를 제외한 당근과 가지를 기름 두른 팬에 볶아준다.,http://file.okdab.com/recipe/148299332506700122.jpg,가지는 간장으로 당근은 소금으로 간을 해준다.,2021.11.01,test
17,180363,5,새우에 쪽파를 감아 접시에 담아 준다.,http://file.okdab.com/recipe/148298988812700118.jpg, ,2021.11.01,test
18,180363,3,새우는 끓는 물에 소금을 약간 넣고 데친다., , ,2021.11.01,test
19,180363,2,쪽파는 끓는 물에 소금을 넣고 살짝 데친 후 찬물에 담갔다 물기를 빼준다.,http://file.okdab.com/recipe/148298988812000116.jpg, ,2021.11.01,test
20,180363,1,새우와 쪽파는 데치기 전에 깨끗하게 손질한다.,http://file.okdab.com/recipe/148298988811400115.jpg, ,2021.11.01,test
21,180363,4,그릇에 고추장 식초 설탕 깨를 넣고 잘 섞어 초장을 만들어 준다.,http://file.okdab.com/recipe/148298988812300117.jpg, ,2021.11.01,test
22,180344,4,달궈진 팬에 올리브유를 두르고 양파 셀러리 토마토 순서대로 볶아준다.,http://file.okdab.com/recipe/148291443776100016.jpg, ,2021.11.01,test
23,180344,9,그릇에 볶음밥과 카레소스를 함께 담는다.,http://file.okdab.com/recipe/148291443779700021.jpg, ,2021.11.01,test
24,180344,8,냄비에 물과 카레가루를 넣고 끓여 카레소스를 만들어 준다.,http://file.okdab.com/recipe/148291443779100020.jpg, ,2021.11.01,test
25,180344,7,만들어진 스크램블에그를 볶음밥과 잘 섞어준다.,http://file.okdab.com/recipe/148291443778100019.jpg, ,2021.11.01,test
26,180344,6,볶아진 밥을 한쪽으로 몰아놓고 풀어놓은 달걀을 팬에 부어 스크램블에그를 만든다.,http://file.okdab.com/recipe/148291443777600018.jpg, ,2021.11.01,test
27,180344,1,볶음밥에 들어갈 양파와 셀러리 햄을 다져서 준비한다.,http://file.okdab.com/recipe/148291443773800014.jpg, ,2021.11.01,test
28,180344,2,계란은 볼에 풀어준다., , ,2021.11.01,test
29,180344,3,방울토마토는 칼집을 내어 끓는 물을 부었다가 건져 껍질을 제거한다.,http://file.okdab.com/recipe/148291443775600015.jpg, ,2021.11.01,test
30,180344,5,볶아진 재료에 밥을 넣고 후추를 뿌려 볶아준다.,http://file.okdab.com/recipe/148291443777100017.jpg, ,2021.11.01,test
31,180330,4,식빵을 반으로 접고 고구마메시가 튀어나오지 않도록 빵 가장자리를 포크를 이용해 꾸욱~눌러준다., , ,2021.11.01,test
32,180330,3,식빵을 밀대로 얇게 밀어 납작하게 만들어 준 후 가장자리는 깔끔하게 잘라 낸다. 식빵의 가장자리에 달걀물을 바르고 고구마메시를 식빵위에 올려준다.,http://file.okdab.com/recipe/148291043688000011.jpg, ,2021.11.01,test
33,180330,1,깨끗하게 씻은 고구마를 찜통에 넣고 쪄준다.,http://file.okdab.com/recipe/148291043686500009.jpg, ,2021.11.01,test
34,180330,2,잘 쪄진 고구마는 껍질을 벗기고 볼에 담에 으깨고 마요네즈 우유 건블루베리 꿀 소금을 넣고 으깬 고구마와 잘 섞어 고구마메시를 만들어 준다.,http://file.okdab.com/recipe/148291043686800010.jpg, ,2021.11.01,test
35,180330,5,사선으로 빵에 칼집을 내어 빵 겉에 달걀물을 고루 발라준다. 200도로 예열된 오븐에 약 6분간 구워준다.,http://file.okdab.com/recipe/148291043690000012.jpg, ,2021.11.01,test
36,120476,8,데친 배추잎을 펼치고 가운데 만두소를 넣고 복주머니 형태로 감싼 뒤 미나리로 묶어준다.,http://file.okdab.com/recipe/148230648951600351.jpg, ,2021.11.01,test
37,120476,2,다짐육은 키친타올로 살짝 눌러 핏물을 제거하고 두부는 물기를 빼준다.,http://file.okdab.com/recipe/148230648949700345.jpg, ,2021.11.01,test
38,120476,6,배추만두를 묶을 미나리를 소금물에 살짝 데쳐준다.,http://file.okdab.com/recipe/148230648951000349.jpg,미나리를 오래 데치면 질겨진다.,2021.11.01,test
39,120476,5,대를 제거한 배추잎을 찜통에 넣고 살짝 쪄준다.,http://file.okdab.com/recipe/148230648950600348.jpg,오래 찌면 배추의 아삭함이 없어진다.,2021.11.01,test
40,120476,4,만두의 피가 될 배추는 잎 부분을 뺀 하얀 대 부분을 잘라준다.,http://file.okdab.com/recipe/148230648950300347.jpg, ,2021.11.01,test
41,120476,3,큰 볼에 준비한 만두소 재료를 넣고 잘 섞어 준다.,http://file.okdab.com/recipe/148230648950000346.jpg, ,2021.11.01,test
42,120476,10,찜통에 배추만두를 넣고 5분간 쪄준다.,http://file.okdab.com/recipe/148230648952900353.jpg, ,2021.11.01,test
43,120476,9,복주머니 형태가 어려우면 막대 형태로 말아 미나리로 묶어준다.,http://file.okdab.com/recipe/148230648952700352.jpg, ,2021.11.01,test
44,120476,7,만두소는 고기가 익을 때 까지 볶아준다.,http://file.okdab.com/recipe/148230648951300350.jpg, ,2021.11.01,test
45,120476,1,채소들은 깨끗하게 씻어 물기를 빼준 후 만두소에 들어갈 재료는 잘게 다져 준비한다.,http://file.okdab.com/recipe/148230648949400344.jpg,배추잎은 큰 것으로 준비한다.,2021.11.01,test
46,120463,6,앞뒤로 뒤집으며 잘 익혀준다., , ,2021.11.01,test
47,120463,2,볼에 강판에 간 감자와 다진 양파를 넣고 소금을 살짝 넣어준다.,http://file.okdab.com/recipe/148229812484300339.jpg, ,2021.11.01,test
48,120463,1,껍질을 벗긴 감자를 강판에 간다.,http://file.okdab.com/recipe/148229812484000338.jpg, ,2021.11.01,test
49,120463,4,당근 잎은 큰 줄기는 때어내어 깨끗하게 손질한다.,http://file.okdab.com/recipe/148229812484900341.jpg,당근잎의 줄기는 뻣뻣하고 질기므로 식감이 좋지 않다.,2021.11.01,test
50,120463,5,중불로 달군 팬에 감자전 반죽을 넓게 펼친 다음 당근잎과 당근채를  반죽위에 올려 모양을 낸다.,http://file.okdab.com/recipe/148229812485200342.jpg,당근과 당근 잎을 잘게 다진 후 반죽과 함께 섞어 붙여도 좋다.,2021.11.01,test
51,120463,3,볼에 부침가루를 농도에 맞게 넣어 준다.,http://file.okdab.com/recipe/148229812484600340.jpg,감자에서 물이 나오기 때문에 따로 물을 넣지 않아도 되지만 농도에 맞게 물과 부침가루를 첨가한다.,2021.11.01,test
52,120441,2,냄비에 쌀뜨물은 붓고  육수재료와 무를 넣고 끓여준다.,http://file.okdab.com/recipe/148222411419300029.jpg, ,2021.11.01,test
53,120441,5,고등어가 살짝 익으면 단고구마와 양파를 넣어준다.,http://file.okdab.com/recipe/148222411420400032.jpg, ,2021.11.01,test
54,120441,6,냄비에 준비한 양념장을 넣어 고등어가 잘 익을 때 까지 끓여준다., , ,2021.11.01,test
55,120441,7,홍고추와 청양고추를 마지막에 넣어 한 번 더 끓여준다.,http://file.okdab.com/recipe/148222411420700033.jpg, ,2021.11.01,test
56,120441,4,육수에 손질한 고등어를 넣어 끓여준다.,http://file.okdab.com/recipe/148222411420000031.jpg, ,2021.11.01,test
57,120441,3,육수가 끓으면 고추장과 된장으로 밑간을 한다.,http://file.okdab.com/recipe/148222411419600030.jpg,다시마와 다시멸치는 건져낸다.,2021.11.01,test
58,120441,1,간장 다진마늘 고춧가루 설탕 들기름을 잘 섞어 양념장을 만든다.,http://file.okdab.com/recipe/148222411418900028.jpg, ,2021.11.01,test
59,120419,2,시금치는 끓는 물에 살짝 데친 후 물기를 빼준다., , ,2021.11.01,test
60,120419,1,참기름과 매실액에 다진 고추와 깨를 넣어 잘 섞어 소스를 만들어 준다.,http://file.okdab.com/recipe/148066903469100140.jpg, ,2021.11.01,test
61,120419,3,고사리는 물러질 때까지 삶은 후 깨끗하게 헹궈 물기를 빼 참기름과 소금으로 간을 하고 팬에 볶아준다., , ,2021.11.01,test
62,120419,10,접시에 담아 준비한 소스와 함께 먹는다., , ,2021.11.01,test
63,120419,4,콩나물은 깨끗하게 씻을 후 끓는 물에 넣고 뚜껑을 닫고 익혀 물기를 빼준다., , ,2021.11.01,test
64,120419,8,따듯한 물에 라이스페이퍼를 1~2초간 담군 후 접시에 깔아준다.,http://file.okdab.com/recipe/148066903470400144.jpg, ,2021.11.01,test
65,120419,7,라이스페이퍼는 말기 좋게 사각형으로 잘라준다.,http://file.okdab.com/recipe/148066903470100143.jpg, ,2021.11.01,test
66,120419,6,팬에 연어살을 올려 앞뒤로 구워준다.,http://file.okdab.com/recipe/148066903469800142.jpg,연어살 대신 닭가슴살 돼지고기 소고기 등으로 대체할 수 있다.,2021.11.01,test
67,120419,5,무는 채 썰어 팬에 볶아준다.,http://file.okdab.com/recipe/148066903469500141.jpg, ,2021.11.01,test
68,120419,9,라이스페이퍼위에 준비한 재료를 취항대로 넣고 돌돌 말아준다.,http://file.okdab.com/recipe/148066903470600145.jpg, ,2021.11.01,test
69,120401,2,그릇에 간장 맛술 올리브유 다진마늘과 식초 참기름을 넣고 다진 청양고추와 다진 파를 넣어 잘 섞어준다. 참기름과 통깨는 적당히 첨가한다.,http://file.okdab.com/recipe/148066561732200126.jpg,청양고추대신 후추나 고춧가루를 넣어도 좋다.,2021.11.01,test
70,120401,5,구워진 애호박을 접시에 둘러 담고 가운데 어린잎채소를 올려 양념장을 뿌려준다.,http://file.okdab.com/recipe/148066561733200129.jpg, ,2021.11.01,test
71,120401,1,청양고추와 대파를 다진다.,http://file.okdab.com/recipe/148066561731800125.jpg,깔끔한 양념장을 원하면 고추씨를 빼준다.,2021.11.01,test
72,120401,3,애호박은 0.5CM 정도의 두께로 썰어준다.,http://file.okdab.com/recipe/148066561732600127.jpg,너무 얇거나 두꺼우면 식감이 좋지 않다.,2021.11.01,test
73,120401,4,달궈진 팬에 기름을 두르고 썰어둔 애호박을 올려 구워준다.,http://file.okdab.com/recipe/148066561732900128.jpg,그릴팬에 구우면 그릴자국이 나 먹음직스러워진다.,2021.11.01,test
74,120379,7,준비된 오이 보트에 양념을 한 참치를 올리고 견과류로 장식을 해 준다.,http://file.okdab.com/recipe/148066186722700115.jpg, ,2021.11.01,test
75,120379,6,볼에 양념제료 마요네스 머스타드소스 황설탕 소금1T 꿀 허브솔트를 넣어 잘 섞어 준다.,http://file.okdab.com/recipe/148066186722400114.jpg, ,2021.11.01,test
76,120379,5,볼에 참치 다진 삶은 달걀 단무지를 넣고 절인 양파는 물기를 꼭 짠 후 넣어준다.,http://file.okdab.com/recipe/148066186722100113.jpg, ,2021.11.01,test
77,120379,4,참치캔은 기름을 제거하고 크기가 큰 견과류는 잘게 다져준다., , ,2021.11.01,test
78,120379,3,깨끗하게 씻은 오이를 길게 반으로 가른 다음 3~4Cm 간격으로 잘라 씨를 파준다.,http://file.okdab.com/recipe/148066186720700112.jpg,굵은소름을 이용하여 오이껍질을 깨끗하게 씻는다.,2021.11.01,test
79,120379,2,양파는 잘게 썰어 식초 황설탕 소금1T을 넣어 잠시 절여 준다.,http://file.okdab.com/recipe/148066186720400111.jpg, ,2021.11.01,test
80,120379,1,삶은 달걀과 단무지를 잘게 다져준다.,http://file.okdab.com/recipe/148066186720000110.jpg, ,2021.11.01,test
81,120360,9,완성된 가지두부스테이크 위에 실파를 뿌려준다.,http://file.okdab.com/recipe/148056032972000008.jpg, ,2021.11.01,test
82,120360,1,두부를 볼에 넣고 으깨준다.,http://file.okdab.com/recipe/148056032968500001.jpg, ,2021.11.01,test
83,120360,7,다시 한 번 팬에 굴소스를 두른 후 뚜껑을 닫고 익혀 준다.,http://file.okdab.com/recipe/148056032971500007.jpg,앞뒤로 한 번씩만 뒤집어 익혀준다.,2021.11.01,test
84,120360,6,익은 가지에 준비해둔 두부를 칼집을 낸 곳에 넣어준다.,http://file.okdab.com/recipe/148056032971100006.jpg, ,2021.11.01,test
85,120360,5,기름을 두른 팬에 가지를 2~3분가량 뚜껑을 닫고 익혀준다.,http://file.okdab.com/recipe/148056032970600005.jpg, ,2021.11.01,test
86,120360,4,가지는 세로로 칼집을 내어준다.,http://file.okdab.com/recipe/148056032970000004.jpg,가지가 잘 익을 수 있게 칼집은 깊게 내준다.,2021.11.01,test
87,120360,3,양념한 두부에 다진고추 와 다진 아몬드를 넣어 버무린다.,http://file.okdab.com/recipe/148056032969500003.jpg, ,2021.11.01,test
88,120360,8,접시에 에멘탈 치즈가루를 깔고 그 위에 가지두부스테이크를 올려준다., , ,2021.11.01,test
89,120360,2,으깬 두부에 굴소스와 매실을 넣고 버무린다.,http://file.okdab.com/recipe/148056032969000002.jpg,굴소스는 간장으로 대체할 수 있다.,2021.11.01,test
90,120344,6,상온에서 반나절 숙성시켜준다, , ,2021.11.01,test
91,120344,5,깻잎 3~4장씩 올려 양념을 골고루 발라준다. 이를 반복하여 깻잎에 양념을 바른다.,http://file.okdab.com/recipe/148004075373900009.jpg, ,2021.11.01,test
92,120344,4,볼에 양념 재료를 넣고 다진파와 홍고추를 함께 잘 섞어 양념장을 만든다.,http://file.okdab.com/recipe/148004075373500008.jpg, ,2021.11.01,test
93,120344,3,쪽파도 깨끗하게 씻어 뿌리를 제거 후 잘게 다진다.,http://file.okdab.com/recipe/148004075371600007.jpg,쪽파대신 부추나 대파를 사용해도 좋다.,2021.11.01,test
94,120344,2,홍고추는 반으로 갈라 씨를 제거한 후 잘게 다져준다.,http://file.okdab.com/recipe/148004075371100006.jpg, ,2021.11.01,test
95,120344,1,깻잎은 흐르는 물에 깨끗하게 씻어 꼭지를 잘라준 후 물기를 빼준다.,http://file.okdab.com/recipe/148004075370800005.jpg, ,2021.11.01,test
96,91023,4,통에 고추를 넣고 식힌 간장을 부어 그늘지고 시원한 곳에서 15일간 숙성 시켜준다.,http://file.okdab.com/recipe/147986666500500018.jpg, ,2021.11.01,test
97,91023,3,물기를 제거한 고추를 이쑤시개로 구멍을 뚫어준다.,http://file.okdab.com/recipe/147986666500100017.jpg,간장물을 끓이는 동안 고추에 구멍을 내면 시간을 절약할 수 있다.,2021.11.01,test
98,91023,2,냄비에 간장 설탕 식초 물을 넣고 끓여준다.,http://file.okdab.com/recipe/147986666498900016.jpg,간장 설탕 식초 물 의 비율은 취향에 맞게 조절한다.,2021.11.01,test
99,91023,1,고추는 깨끗하게 씻어 물기를 빼준다.,http://file.okdab.com/recipe/147986666497700015.jpg, ,2021.11.01,test
100,91023,5,숙성된 고추장아찌는 냉장고에 보관한다., , ,2021.11.01,test
101,91010,1,굵은소금이나 베이킹 소다를 이용하여 라임 껍질을 깨끗하게 문질러 닦는다.,http://file.okdab.com/recipe/147978355895700819.jpg, ,2021.11.01,test
102,91010,7,병에 얼음을 넣고 탄산수를 부어 준다.,http://file.okdab.com/recipe/147978355896600822.jpg, ,2021.11.01,test
103,91010,6,기호에 맞게 설탕을 조절하여 넣어 준다., , ,2021.11.01,test
104,91010,5,라임과 허브를 살짝 으깨준다., , ,2021.11.01,test
105,91010,4,물병에 허브와 라임을 적당히 넣어 준다.,http://file.okdab.com/recipe/147978355896300821.jpg, ,2021.11.01,test
106,91010,3,라임을 적당한 두께로 썰어준다.,http://file.okdab.com/recipe/147978355896000820.jpg, ,2021.11.01,test
107,91010,2,허브잎을 흐르는 물로 깨끗하게 씻는다., , ,2021.11.01,test
108,90997,5,빵사이에 어린잎과 햄치즈 토마토를 넣고 소스를 발라준다.,http://file.okdab.com/recipe/147969190765200720.jpg,빵사이에 넣어주는 재료는 취향에 따라 자유롭게 넣어준다.,2021.11.01,test
109,90997,1,상추 치커리등의 어린잎채소를 물에 담갔다가 깨끗하게 씻어 물기를 빼준다.,http://file.okdab.com/recipe/147969190762600716.jpg,어린잎대신 새싹채소를 사용해도 좋으며 물기를 키친타올을 이용해서 빼준다.,2021.11.01,test
110,90997,2,치즈와 햄은 세모모양이 되도록 반으로 잘라준다.,http://file.okdab.com/recipe/147969190764400717.jpg,치즈와 햄을 4등분으로 잘라 기호에 맞게 사용해도 좋다.,2021.11.01,test
111,90997,3,토마토를 슬라이스 해준다.,http://file.okdab.com/recipe/147969190764600718.jpg, ,2021.11.01,test
112,90997,4,모닝빵을 빵칼을 이용하여 반을 갈라준다.,http://file.okdab.com/recipe/147969190764900719.jpg, ,2021.11.01,test
113,90980,6,호박이 담긴 볼에 양념을 넣고 잘 무쳐준다.,http://file.okdab.com/recipe/147936561433800477.jpg,취향에 따라 소금과 설탕의 양을 조절한다.,2021.11.01,test
114,90980,5,양파와 대파 고추를 잘게 썰어 볼에 넣는다., , ,2021.11.01,test
115,90980,3,끓는 물에 살짝 데쳐준다.,http://file.okdab.com/recipe/147936561432700475.jpg,호박을 데칠 때 소금을 넣어주면 녹색이 선명해 진다.,2021.11.01,test
116,90980,4,데친 호박의 물기를 짜낸 후 큰 볼에 담는다.,http://file.okdab.com/recipe/147936561433300476.jpg, ,2021.11.01,test
117,90980,1,둥근 호박을 반으로 잘라 속을 모두 긁어 파낸다.,http://file.okdab.com/recipe/147936561431800473.jpg, ,2021.11.01,test
118,90980,2,속을 파낸 호박을 가늘게 채쳐준다.,http://file.okdab.com/recipe/147936561432200474.jpg, ,2021.11.01,test
119,90960,1,준비한 채소를 깨끗하게 손질한다.,http://file.okdab.com/recipe/147799091157000007.jpg, ,2021.11.01,test
120,90960,2,가지는 동그랗게 썰어 후라이팬에 구워준다.,http://file.okdab.com/recipe/147799091157500008.jpg,가지를 구우면서 소금을 살짝 뿌려준다,2021.11.01,test
121,90960,3,풋고추와 쪽파 양파를 다져준다,http://file.okdab.com/recipe/147799091157900009.jpg, ,2021.11.01,test
122,90960,4,간장에 다진재료들과 마늘 통깨를 넣고 잘 섞어 양념간장을 만들어 준다., , ,2021.11.01,test
123,90960,5,구워진 가지에 양념간장을 뿌려 섞어 접시에 담는다.,http://file.okdab.com/recipe/147799091158300010.jpg, ,2021.11.01,test
124,90960,6,호박잎은 줄기를 꺾어 껍질을 벗겨 흐르는 물에 잘 씻어준다.,http://file.okdab.com/recipe/147799091158700011.jpg, ,2021.11.01,test
125,90960,7,찜기에 물을 담고 받침대에 호박잎을 올려 7~8분정도 익혀준다., , ,2021.11.01,test
126,90960,8,호박잎을 잘 펴 밥을 얹고 쌈장 또는 양념간장을 넣고 말아 준다.,http://file.okdab.com/recipe/147799091159100012.jpg, ,2021.11.01,test
127,90941,2,오징어는 내장을 꺼내 통으로 깨끗하게 씻어 뜨거울 물에 데쳐준다.,http://file.okdab.com/recipe/147790356221600004.jpg,오징어를 약 1분정도 끓는 물에 데치는 것이 적당하다.,2021.11.01,test
128,90941,3,데쳐진 오징어를 동그랗게 링으로 썰어 채소를 담은 접시 위에 올려준다.,http://file.okdab.com/recipe/147790356221900005.jpg, ,2021.11.01,test
129,90941,5,채소과 오징어에 초고장을 뿌려 잘 섞어준다., , ,2021.11.01,test
130,90941,1,준비한 채소를 깨끗하게 씻어 적당한 크기로 채 썰어 접시위에 돌려 담는다.,http://file.okdab.com/recipe/147790356220100003.jpg, ,2021.11.01,test
131,90941,4,고추장과 식초 설탕 와사비 후추를 조금 넣고 잘 섞어 초고추장을 만든다., , ,2021.11.01,test
132,90920,3,팬에 중불로 노릇하게 가지를 구워 오븐용 그릇에 담는다.,http://file.okdab.com/recipe/147738563572700209.jpg, ,2021.11.01,test
133,90920,2,소금과 후추로 밑간을 하고 올리브 오일에 잠시 재워둔다.,http://file.okdab.com/recipe/147738563571200208.jpg, ,2021.11.01,test
134,90920,1,가지를 깨끗하게 씻은 후 1cm 두께로 둥글게 썰어준다.,http://file.okdab.com/recipe/147738563570900207.jpg, ,2021.11.01,test
135,90920,4,올리브유를 두른 팬에 다진 마늘을 넣고 1분간 볶다 양파를 넣고 볶아준다.,http://file.okdab.com/recipe/147738563574100210.jpg,다진 마늘이 타지 않도록 중불에서 볶아준다.,2021.11.01,test
136,90920,9,다 구워지면 오븐에서 꺼내 파슬리 가루를 뿌려준다.,http://file.okdab.com/recipe/147738563576500214.jpg,그릇이 매우 뜨겁기 때문에 주의한다.,2021.11.01,test
137,90920,8,200℃로 예열된 오븐에 6~7분정도 구워준다., ,치즈가 노릇하게 색이 나오면 적당하다.,2021.11.01,test
138,90920,7,소스를 가지가 담긴 오븐용 그릇에 올리고 피자치즈를 골고루 뿌려준다.,http://file.okdab.com/recipe/147738563575000213.jpg,T_ 피자치즈는 기호에 맞게 양을 조절하여 넣는다.,2021.11.01,test
139,90920,5,마늘과 양파에 토마토소스를 넣고 끓여준다.,http://file.okdab.com/recipe/147738563574400211.jpg, ,2021.11.01,test
140,90920,6,토마토소스가 끓으면 우유와 파마산치즈가루를 넣고 한 번 더 끓여준다.,http://file.okdab.com/recipe/147738563574600212.jpg,소스가 눌어붙지 않도록 저어가면서 끓여준다.,2021.11.01,test
141,90904,3,달궈진 팬에 양파를 반투명 해질 때 까지 볶다가 가지와 양념을 넣고 볶는다.,http://file.okdab.com/recipe/147729991661700015.jpg, ,2021.11.01,test
142,90904,1,가지를 깨끗하게 씻어 반으로 갈라 어슷썰기를 한다.,http://file.okdab.com/recipe/147729991661100013.jpg, ,2021.11.01,test
143,90904,2,양파는 채 썰고 대파와 고추는 어슷하게 썬다.,http://file.okdab.com/recipe/147729991661400014.jpg, ,2021.11.01,test
144,90904,4,가지가 거의 익어 가면 고추와 대파를  넣어 볶아준다.,http://file.okdab.com/recipe/147729991662000016.jpg, ,2021.11.01,test
145,90894,3,물기를 짠 고구마잎에  다진마늘 다진파 깨소금 참기름 소금을 넣고 조물조물 묻힌다.,http://file.okdab.com/recipe/147686756653500038.jpg, ,2021.11.01,test
146,90894,1,손질한 고구마잎을 끓는물에 쌀짝 데쳐준다.,http://file.okdab.com/recipe/147686756653100037.jpg,고구마잎이 연하기 때문에 살짝만 데쳐준다.,2021.11.01,test
147,90894,2,데친 고구마잎은 찬물에 헹구어 물기를 짜놓는다., , ,2021.11.01,test
148,90881,1,호박을 얇고 길게 갈라준다.,http://file.okdab.com/recipe/147686495892100031.jpg,감자 깎을 때 사용하는 필러를 이용하여 위에서 아래로 긁어준다.,2021.11.01,test
149,90881,5,구운 호박에 양념된 닭가슴살과 오이를 넣고 말아준다.,http://file.okdab.com/recipe/147686495893300035.jpg, ,2021.11.01,test
150,90881,4,닭가슴살을 삶아 물을 빼주고 결대로 찢어 마요네즈와 허니머스타드를 넣고 버무려준다.,http://file.okdab.com/recipe/147686495893000034.jpg,기호에 따라 후추를 살짝 뿌려준다.,2021.11.01,test
151,90881,3,오이를 호박의 길이에 맞게 채를 쳐준다.,http://file.okdab.com/recipe/147686495892700033.jpg,당근이나 파프리카등의 다를 채소를 이용해도 좋다.,2021.11.01,test
152,90881,2,달궈진 팬에 기름을 두르고 얇게 잘라준 호박을 앞뒤로 구워준다.,http://file.okdab.com/recipe/147686495892400032.jpg,호박을 구울 때 기호에 맞게 소금과 후추를 살짝 뿌려준다.,2021.11.01,test
153,90868,5,불을 끄고 소금 바질 쪽파를 넣어준다.,http://file.okdab.com/recipe/147676766737300029.jpg,소금은 입맛에 맞게 양을 조절해서 넣어준다.,2021.11.01,test
154,90868,4,미니새송이버섯을 익힌 후 토마토를 넣고 볶아준다.,http://file.okdab.com/recipe/147676766737000028.jpg,버섯은 물기가 적당히 없어질 때 까지 익혀준다.,2021.11.01,test
155,90868,3,올리브유를 두른 팬에 다진마늘을 넣고 중불에서 빠르게 익혀준다.,http://file.okdab.com/recipe/147676766736700027.jpg, ,2021.11.01,test
156,90868,2,토마토는 먹기 좋은 크기로 잘라준다.,http://file.okdab.com/recipe/147676766736400026.jpg, ,2021.11.01,test
157,90868,1,미니새송이를 찬물에 한번 행궈 물기를 빼준다.,http://file.okdab.com/recipe/147676766736000025.jpg, ,2021.11.01,test
158,90846,7,냄비에 물을 붓고 밥1T 생강 파뿌리 양파 소금을 넣고 끓여준다., ,기호에 맞게 감자풀이나 밀가루풀 찹쌀풀 등을 사용할 수 있다.,2021.11.01,test
159,90846,6,속을 채운 오이를 김치통에 가지런히 담아준다.,http://file.okdab.com/recipe/147522432391501637.jpg, ,2021.11.01,test
160,90846,9,상온에서 익힌후 냉장고에 넣어 보관한다.,http://file.okdab.com/recipe/147522432392001639.jpg,여름처럼 더운 날씨에는 금방 익기 때문에 반나절정도가 적당하다.,2021.11.01,test
161,90846,8,식힌 육수를 체로 걸러 김치통에 부어준다.,http://file.okdab.com/recipe/147522432391801638.jpg,육수가 완전히 식기 전 따듯할 때 부어준다.,2021.11.01,test
162,90846,5,오이속에 재료들을 채워준다.,http://file.okdab.com/recipe/147522432391201636.jpg,오이 속을 최대한 많이 채워야 나중에 빠져나오지 않는다.,2021.11.01,test
163,90846,2,오이를 4등분한다.,http://file.okdab.com/recipe/147522432390301633.jpg, ,2021.11.01,test
164,90846,3,오이의 씨를 제거하고 소금으로 저려준다.,http://file.okdab.com/recipe/147522432390601634.jpg,젓가락을 이용하여 씨를 제거 한다.,2021.11.01,test
165,90846,4,파프리카와 무 밤을 가늘게 채썰고 쪽파는 말아준다.,http://file.okdab.com/recipe/147522432390901635.jpg,파프리카 대신 양파 붉은 고추를 사용할 수 있다.,2021.11.01,test
166,90846,1,재료를 깨끗하게 손질한다., ,오이를 씻을 때 굵은 소금으로 씻는다.,2021.11.01,test
167,90834,3,나머지 부추 돛나물 양파 마늘과 매식액 액젓 1T를 함께 넣고 버무려준다.,http://file.okdab.com/recipe/147521990368101615.jpg, ,2021.11.01,test
168,90834,2,준비한 볼에 오이와  고춧가루 1T를 넣고 버무려준다.,http://file.okdab.com/recipe/147521990367801614.jpg, ,2021.11.01,test
